"gene","module","degree","betweenness","closeness"
"Dapma7bEVm023546","MEbrown",858,0.000202328224092701,2.99685503368477
"Dapma7bEVm024190","MEbrown",746,0.000201724259244663,2.82323246781892
"Dapma7bEVm015922","MEbrown",562,0.000191456856828019,2.62309460072936
"Dapma7bEVm023154","MEbrown",577,0.000183605313803526,2.53881533587435
"Dapma7bEVm021083","MEbrown",898,0.000181491436835393,3.05983764225272
"Dapma7bEVm017377","MEbrown",713,0.000163674473818275,2.76319509511836
"Dapma7bEVm025908","MEbrown",755,0.000157936807761915,2.86995306300149
"Dapma7bEVm012680","MEbrown",888,0.000147367422921251,3.06649683759149
"Dapma7bEVm012117","MEbrown",670,0.000132570284144322,2.71965095654733
"Dapma7bEVm024956","MEbrown",561,0.000126832618087962,2.52905571568055
"Dapma7bEVm011093","MEbrown",537,0.000116565215671317,2.4940058933066
"Dapma7bEVm029538","MEbrown",556,0.000116263233247299,2.51701191489331
"Dapma7bEVm023955","MEbrown",714,0.000115659268399261,2.78241902027813
"Dapma7bEVm022167","MEbrown",573,0.000107505742950749,2.56790945352407
"Dapma7bEVm030282","MEbrown",766,0.000104787901134578,2.86610644355733
"Dapma7bEVm025257","MEbrown",667,9.45204987179336e-05,2.69935129299198
"Dapma7bEVm012976","MEbrown",665,8.51590435733459e-05,2.69751950388207
"Dapma7bEVm014456","MEbrown",686,7.54956060047393e-05,2.74553768562094
"Dapma7bEVm024203","MEbrown",657,7.45896587326824e-05,2.67669911237081
"Dapma7bEVm030165","MEbrown",689,6.67381157081896e-05,2.72493020601214
"Dapma7bEVm018652","MEbrown",901,6.03964848037914e-06,3.05556476687353
"Dapma7bEVm000672","MEgreen",161,0.00781489827242742,2.18381948168909
"Dapma7bEVm015207","MEgreen",185,0.00157230183682618,2.27546203508253
"Dapma7bEVm010202","MEgreen",205,0.00115933509682897,1.9489499780825
"Dapma7bEVm001756","MEgreen",74,0.000901342216126188,1.8820097038755
"Dapma7bEVm015117","MEgreen",89,0.00086898177424287,2.00041389708435
"Dapma7bEVm005293","MEgreen",124,0.000813761203689684,2.11520766614089
"Dapma7bEVm000751","MEgreen",214,0.000601191695538712,1.94653530708326
"Dapma7bEVm000832","MEgreen",107,0.000589613188809819,2.06418940764307
