"","MEblue","MEdarkturquoise","MEdarkgrey","MEblack","MEtan","MEyellow","MEbrown","MEcyan","MEpink","MEroyalblue","MEorange","MEturquoise","MEdarkred","MEgreenyellow","MEgreen","MEmidnightblue","MEdarkgreen","MEsalmon"
"D05A3",0.00421881791934102,-0.0701676372704266,-0.0154842406183784,-0.00181741569345415,-0.0102373797311439,-0.103314156472303,-0.0221552065345476,-0.0598965924306336,0.0732170852763057,0.0021148324363279,-0.032474039037465,-0.0371058196908035,0.0875892157708301,0.024927297127169,0.076514231769539,0.033094961800004,0.0252261663118046,-0.063915349217549
"D05A4",0.0195277487106965,-0.0292742704843804,-0.0872418561152269,-0.0203839239356849,-0.149220776931229,-0.120111943878177,-0.00110494242275701,-0.0472812843372375,0.0330930083112801,0.0170055191686654,-0.043799839371847,-0.038031663328473,-0.0461611295844398,0.0381190627413827,0.0540619562050462,0.138914168446822,0.0537368307967198,0.0989156316843458
"D05A5",0.0187612448517833,0.190640212961955,-0.135607483747449,0.0425654906128409,0.0410846063325243,-0.082887682398881,-0.00421847915680397,-0.0555027231944684,0.0551140197270819,-0.0162635753832111,-0.0178816016917084,-0.0134530620542642,-0.00938193947062922,-0.0562244176175099,-0.00933277756665612,0.0409920671580705,-0.0436437909769348,-0.123989390283923
"D05A6",0.0250812576044413,0.0547088792913583,0.0251458426944534,-0.00616951155181538,-0.0608200277575783,0.0301434919395039,-0.00116911028782727,-0.0256942311969644,-0.0148816192185892,-0.00984158549049921,-0.0260939451318847,-0.0340877278056069,0.0275751727220516,0.0457972304903153,0.000606596705861206,0.00293139039315371,-0.065882619615209,-0.0370706788167165
"D06A1",0.0435253616055348,0.0574196147577298,-0.0286868375214982,-0.0506055030450677,-0.051869159629463,-0.046772432288919,-0.0119534509824976,0.0438643983419795,-0.00227331615337036,-0.092204954476129,-0.0460604502315638,-0.0349640509764923,0.0377966115501828,0.0143504990547725,0.0562754056965892,0.0406903042180942,0.0459009681229907,0.0736296487775781
"D06A2",0.0223969002045469,0.0908017326204511,-0.0503767634188021,0.0336621585038856,0.0820240958099954,-0.0750871575743468,-0.0204761108737589,-0.046387860322248,0.0324704341164616,-0.0994901444866574,-0.0388803736920943,-0.0271128120271599,0.152505675270391,-0.00219007327291184,0.0488789162247599,0.035754413912379,-0.0695407667848393,-0.135480010973641
"D06A3",0.0496606395609391,0.056355274103211,-0.034168783937228,-0.0424607694720743,-0.0518476368906818,-0.0372393609165416,-0.00791787409386912,0.0331700242526021,-0.00483786058397028,-0.1044591870161,-0.0335205993371343,-0.0336622586425574,0.0128477945624269,0.00761438892383425,0.0339304595684453,0.0370949106280187,0.0510396132002981,0.0868113623884582
"D06A4",-0.0154721366405036,-0.0826345021491781,-0.0772141569701345,0.0229187023420777,0.0522091821892954,-0.10471692498934,-0.0203847469785523,-0.0598271144458975,0.174413356580094,0.110845787419485,0.00394120106786861,-0.0418179978087018,0.13518260327906,0.0250692472275834,-0.0504459453119346,-0.06406889567916,0.0571034533583812,-0.0124407865748082
"D06A5",0.0393272010244568,-0.0495142575469934,0.145084785577558,0.0265213972693192,-0.0389926000199564,0.0117832878108026,-0.0241640147388682,0.0243923679637959,-0.0874954357319614,-0.0680141686014768,-0.00348987703576358,-0.0441978209604739,0.0159099572106618,-0.0374312812819117,0.0872461320352583,0.119378659583086,0.108768757570135,-0.0583531368930941
"D06A6",0.0286276300416614,0.0771701696655348,0.00417624690623263,0.0172015453729115,-0.00312956456152129,-0.0610725069469821,-0.00570166999950442,-0.0900600418866277,0.12008786039664,0.105888537239239,0.00213181483604507,-0.0242256470950617,0.0481602824108558,0.0358456576125032,0.0332588425839411,0.0840011733044077,0.0597063826187907,-0.0554199343853852
"D07A1",0.0172589524763165,-0.0702990427351889,-0.0306316028627302,0.218470906306059,0.12089900759373,-0.0242384716713395,-0.0343359807286808,-0.165771789842759,-0.0259676420100464,-0.0362059375956856,0.01077168563261,-0.0394000284046357,0.146592577995091,0.0481867733951443,-0.0879798132976385,-0.0974450830228374,-0.0546474772861904,-0.0826467193599959
"D07A2",0.0431863046502653,0.0896355132224444,-0.115156024936953,0.0498325947130611,0.00786458279877815,0.0160247185780544,0.00107845090767512,-0.0927938380105823,0.0693306576270894,0.065302967436701,-0.0280151384653361,-0.0287102347015035,-0.0391865973909011,-0.0455876834162055,-0.0504817117190757,-0.0137899349005599,0.0817325059677331,0.0504638818228997
"D07A3",0.0219072981844769,-0.0837962606837014,-0.00142868337846895,-0.0893075817107841,-0.0905364749515586,-0.0727250628178205,-0.00286882306441587,-0.0268101655456153,0.123026599249615,0.0184511345642056,-0.0367210993473843,-0.0365174633460398,0.0132227986773131,0.00787363331323688,0.0412782406383192,0.0219031363579066,0.0811178938328413,0.0982623476354489
"D07A4",0.0220401997995024,-0.0345624178619327,-0.0485674606957611,-0.0104847765585212,-0.0696174545104936,-0.0618211306065431,-0.0311488732620114,-0.0291000553329229,-0.0243389461038137,-0.0536227917691419,-0.0299680980779932,-0.0419638240192123,0.00232301104901557,0.0412896265230591,0.0856222361059379,0.0879295445417485,0.085411833359097,0.076060916418774
"D07A5",-0.00101576565100747,0.0257478770660684,0.0153997886110595,0.054011681407237,0.088459037510431,-0.0834408598119898,-0.008727266323106,-0.0151763725900641,0.0273170069857304,0.0072550474622044,0.0208494792152723,-0.0344270227853845,-0.0410301000773466,-0.136020721708988,-0.104141448099709,-0.0906782768977982,-0.0900836255978486,0.0576387385451695
"D07A6",0.0171866714341,-0.0721166124267657,0.00753866764752919,-0.147662459320224,-0.00314353055434698,0.057554722712263,0.00712829564090361,0.17682852576956,-0.108616177016315,0.00141526891783961,-0.0405690276160486,-0.0370867466099006,0.0469954347228322,-0.0245557287415036,0.00176305822450742,0.0238662998248281,0.099144259586561,0.126194522235881
"D08A1",0.0010851658898226,0.143860848824237,-0.15881677241868,0.0171765846931107,0.00590157407649941,-0.0605496137300185,-0.00311975999798139,-0.0105945974272265,0.00193183935072429,0.007710591039998,-0.0350303938657288,-0.0178117043584754,0.0766273441811591,0.050008847623941,0.0099424436528625,0.0573976462490489,0.126622835409652,0.0159140246836774
"D08A2",0.014225112222657,0.0444435283913287,0.140194432130395,0.0611824510414331,0.0142165618507797,-0.0079267403704044,-0.00836701056318638,-0.0287033398085051,0.00147776507746287,0.00315458459686808,-0.0463977019451623,-0.0323272856651217,0.0397080877930537,0.0678959470988042,0.045678305186363,0.000553470968159345,-0.0954779342648533,-0.105022555535367
"D08A3",0.0133391372800925,-0.0724793484316211,-0.134083196704148,0.0267262112997447,-0.105713465849618,-0.138826336067394,-0.0416484735207434,-0.135617175373943,0.104112006141424,-0.0411735291546131,-0.0076426109834599,-0.0363857061254567,-0.147879946053483,-0.0521795727855355,0.0796861435126097,0.0982692339836952,0.00346184160134364,0.0507835994098296
"D08A4",0.0263178296960732,-0.0788605967852706,-0.0557390640620801,-0.00463339006010584,-0.014746235693298,-0.0255182644915549,-0.00904450777060422,-0.0289061903366818,0.0768667018655815,0.0964775788918123,-0.0168646519377582,-0.0401154940118638,-0.0219273634850428,0.0911101225490027,0.0225874595517367,-0.0638484354698092,-0.108458950256095,-0.0954458285571195
"D08A5",-0.133284086824999,-0.0478414849621979,-0.00240162555372787,-0.0854569370892419,-0.0830564010370295,-0.0865269096702458,0.0393132361983294,-0.0561068225271728,0.171279310592062,0.051308478323904,0.0587887263774585,0.211634906577116,0.0993626497201117,0.0566360915525362,0.0180308031465939,-0.09872444768355,-0.104749769719986,-0.0393059023960607
"D08A6",-0.0995709671007036,-0.0362243286383226,0.0555800598771864,0.0295085674294938,-0.119651401432951,0.000239973315902158,0.0083572117186291,-0.0572042354310065,-0.0593700479598771,-0.0313009333456713,0.0715064399142858,0.183719921987722,-0.172577235918026,-0.0513324318253044,0.0710191584470048,0.158009556460968,0.15276881853813,0.102184991692739
"D09A1",0.0121650001869627,0.00444608346983642,0.00479496165995523,-0.0274624298109418,-0.0442540994698788,-0.0743353726649148,-0.00629132111448555,-0.00473238343262221,0.0323537898527568,0.0214010433085653,-0.034341697510852,-0.0320904043198158,0.0321100595908247,-0.00903205748393823,0.0838536616056014,0.0873103950963701,0.090859439893441,-0.0386668114421244
"D09A2",0.020197369293847,0.0128903126919237,-0.127459989335914,-0.00905500187673951,-0.108587374540813,-0.0834818110775784,-0.00705222772785468,-0.0409806942744168,0.0275626438623727,0.00829029671954253,-0.0562087711150946,-0.033870200114921,0.0596014890350772,0.0724233491661356,0.0362073576093937,0.0705389512370453,0.0587584321564568,0.0802425876331695
"D09A3",-0.0859923690988833,-0.0393442086497763,-0.00209109561537583,-0.00776250313906169,-0.0342624303269246,-0.0148693662662709,0.0216170549821644,-0.00571024199257325,-0.0275094111798573,0.0104491898451872,0.264950369410701,0.185610430304175,-0.0559315857914921,-0.154235982131043,-0.0784946721417389,0.0450009895338118,0.0344791726975188,0.0277635655215909
"D09A4",0.03523618767355,-0.0275067427312491,-0.103598403954647,-0.0145248807298918,0.0366104885112964,0.0382633647435896,-0.00817321234911774,0.0318265637434342,-0.0538400450810468,-0.0211479026040657,-0.0439976608658968,-0.0378881427263471,-0.0657914366468852,-0.0170900244115274,-0.0205521374845771,0.0150899161237708,-0.0108126468745757,0.0673195765423042
"D09A5",0.0615715322742824,0.0332700557129728,0.0775695027656566,0.0339255753791694,0.0162271674605373,0.000575575517117625,-0.0274029501843412,-0.0461611897564016,-0.0122823865666291,-0.082511105855938,-0.0101404528012589,-0.0375509038702407,0.0265795905144901,-0.00767170852704592,-0.139585927566297,-0.123646297526339,0.0198534741758958,0.0360356296752447
"D09A6",0.041298208083864,-0.0549559259476067,-0.032039762191993,-0.168062783730982,0.0573509789087448,0.0666819221079158,0.00825120550130006,0.277736304056592,-0.0918151739385054,-0.0565508154630685,-0.0145666829954528,-0.0399125562023067,0.149725999122457,0.0856613861960642,0.0372909038407903,0.0492575214417299,0.00124766794588023,-0.0702455662914193
"D10A1",0.0365365448206604,-0.00268212301376909,0.0819531631724597,0.0730341628935245,0.185156239293834,-0.0711841218352899,-0.0237379256644715,-0.0508008367876918,0.0168673389510982,-0.084948558306375,-0.0365474391966374,-0.0400729823923607,0.145497403992551,-0.00873220195069415,-0.164339955170826,-0.130455368826552,0.018723645409236,0.0517369476336004
"D10A2",0.0504571229649619,0.10659132554249,0.140334211587253,0.0325614393416993,0.0776102296104637,-0.0141621665883072,-0.012971165540345,-0.00371162658556413,-0.0432201720683433,-0.0639895282097026,-0.0355465664747952,-0.0248384946036347,-0.011408183964927,-0.0613365894471372,-0.0391740221827718,-0.0287902394590742,0.0649191294483284,0.144825272163176
"D10A3",0.0183851316370531,0.111471074416878,-0.00707907635902516,-0.0221850567965064,-0.114550882960077,-0.0510667103811621,-0.00591293185487375,0.00182752363914369,-0.0221136114647327,0.0266944362798697,-0.0162554216497031,-0.0267222548826976,-0.0789966193397722,0.0438015453900996,0.142826833920553,0.170489417369976,0.0323834591025059,-0.0813205484516853
"D10A4",-0.0412095874304535,-0.00223880740511649,-0.0743709333081742,-0.148178390202584,0.113985039410661,-0.0688291381195968,0.039025059359236,0.136782788681647,0.220311591118003,0.300969021462514,0.0798916533514,-0.031513370479626,0.151416113060006,0.0101168275552519,-0.132302014914577,-0.102212873459219,-0.10242842831955,-0.0918365182008924
"D10A5",0.0408889164896401,-0.00510787063207662,0.0720904892940278,-0.0891349252878822,0.0196870881824918,0.089800766100633,-0.00841524765700058,0.121326552916963,-0.0758968661505533,-0.0507840154365642,0.0299730239531799,-0.0416848581297685,-0.0095057139788804,0.000588498849940196,0.015116876424483,0.00379607407004536,-0.00696255932738149,0.0232772041841994
"D10A6",0.0269232351964808,0.270533980361208,-0.0198473387463494,-0.00654412019610265,0.0578234346935559,-0.0455216941964894,-0.00862580455784438,-0.00570883575937096,-0.00710096947041814,-0.0159304013357289,-0.045145943940753,-0.00146959390846177,-0.119969859469971,-0.133054738924651,0.00260987719608347,0.0693523768290588,0.00603386588813078,-0.0367311972237739
