"module","trait","correlation","padj"
"MEdarkgrey","93-65-2",-0.192865400909963,0.211281510684513
"MEdarkgrey","657-24-9",0.0915238522822613,0.759874896936518
"MEdarkgrey","51218-45-2",-0.185844333885552,0.221732005992816
"MEdarkgrey","171118-09-5",-0.189376450778801,0.217996641610621
"MEdarkgrey","37350-58-6",0.00401252062782494,0.991426271096134
"MEdarkgrey","83-15-8",-0.0889639282981183,0.766112552917753
"MEdarkgrey","1672-58-8",-0.127981653422091,0.527022143618772
"MEdarkgrey","604-75-1",-0.222861644808564,0.119115600425723
"MEdarkgrey","70-55-3",-0.0734657283533194,0.842267503435997
"MEdarkgrey","60-80-0",-0.0875871873104429,0.769744654267655
"MEdarkgrey","27503-81-7",-0.200557713411244,0.194238874108589
"MEdarkgrey","56038-13-2",-0.183579148530008,0.235494680563106
"MEdarkgrey","723-46-6",0.0421792397901885,0.970342395109453
"MEdarkgrey","5915-41-3",-0.0989864249507385,0.730134235684517
"MEdarkgrey","66753-07-9",-0.0333503591572651,0.976452332806933
"MEdarkgrey","143-24-8",-0.174101963571056,0.267842053117842
"MEdarkgrey","27203-92-5",-0.187344150781238,0.220466406973144
"MEdarkgrey","791-28-6",0.0707209558521265,0.868900532589759
"MEblack","29331-92-8",-0.0980952207011257,0.730629594148193
"MEblack","58955-93-4",-0.0343365919763515,0.976189477093204
"MEblack","95-14-7",-0.0287875959133188,0.976452332806933
"MEblack","615-22-5",-0.0518985973575888,0.954048405801303
"MEblack","941-57-1",-0.0667752802024662,0.893257694011139
"MEblack","68011-66-5",-0.0252576815500418,0.976452332806933
"MEblack","94-75-7",-0.0401056809874174,0.971084854900018
"MEblack","51-28-5",-0.0578661622655612,0.942696795489181
"MEblack","136-85-6",-0.02290462264607,0.976452332806933
"MEblack","33665-90-6",-0.0273891092111655,0.976452332806933
"MEblack","1912-24-9",-0.0256185263378725,0.976452332806933
"MEblack","25057-89-0",-0.0326866316182313,0.976452332806933
"MEblack","4065-45-6",-0.091202668009816,0.759874896936518
"MEblack","298-46-4",-0.0468293617393297,0.969378383757342
"MEblack","1698-60-8",-0.0419800716322875,0.970342395109453
"MEblack","15545-48-9",-0.0668785788361949,0.893257694011139
"MEblack","81103-11-9",-0.126385138456914,0.538807553537511
"MEblack","100-88-9",-0.0794041616667404,0.812349925520795
"MEblack","134-62-3",0.0133622902872415,0.984045558531983
"MEblack","75847-73-3",-0.0525402280293981,0.954048405801303
"MEblack","68002-20-0",-0.0351332467264083,0.976189477093204
"MEblack","34123-59-6",-0.0884895628921365,0.766112552917753
"MEblack","93-65-2",-0.0512027956580821,0.954655567570737
"MEblack","657-24-9",-0.0111497890518135,0.984045558531983
"MEblack","51218-45-2",-0.0780390413280032,0.816562309182784
"MEblack","171118-09-5",-0.0497176519216065,0.958327770050301
"MEblack","37350-58-6",-0.0922110512787273,0.759874896936518
"MEblack","83-15-8",-0.0413135731815075,0.971084854900018
"MEblack","1672-58-8",-0.0239053062234237,0.976452332806933
"MEblack","604-75-1",-0.110223507324794,0.653185034979723
"MEblack","70-55-3",-0.0301524956799273,0.976452332806933
"MEblack","60-80-0",-0.0293545298451842,0.976452332806933
"MEblack","27503-81-7",-0.0606611502489981,0.922259426008274
"MEblack","56038-13-2",-0.0654027308565446,0.905874763750236
"MEblack","723-46-6",-0.0228041039658038,0.976452332806933
"MEblack","5915-41-3",0.0309627111236559,0.976452332806933
"MEblack","66753-07-9",-0.0347859658236414,0.976189477093204
"MEblack","143-24-8",-0.0150327758313729,0.984045558531983
"MEblack","27203-92-5",-0.0771616142126159,0.8207959909991
"MEblack","791-28-6",-0.0269491286556985,0.976452332806933
"MEtan","29331-92-8",-0.162299391350375,0.323809751142398
"MEtan","58955-93-4",-0.00822451018427059,0.984045558531983
"MEtan","95-14-7",-0.121815762479712,0.581141316210899
"MEtan","615-22-5",-0.113907807782482,0.638311973904526
"MEtan","941-57-1",-0.238084522689338,0.0964204260031254
"MEtan","68011-66-5",0.00589113773628799,0.984045558531983
"MEtan","94-75-7",-0.0399328469056715,0.971084854900018
"MEtan","51-28-5",-0.240437765832822,0.0911839099748245
"MEtan","136-85-6",-0.0988027281754381,0.730134235684517
"MEtan","33665-90-6",0.00540500869543127,0.984045558531983
"MEtan","1912-24-9",0.0507883284522683,0.954655567570737
"MEtan","25057-89-0",0.245403361147537,0.0808753566664581
"MEtan","4065-45-6",-0.23393397001444,0.0992544964717045
"MEtan","298-46-4",-0.148008288817723,0.424023793635249
"MEtan","1698-60-8",-0.0459984307317693,0.969378383757342
"MEtan","15545-48-9",-0.191685921135758,0.211281510684513
"MEtan","81103-11-9",-0.0626523771403609,0.91540949428396
"MEtan","100-88-9",0.00691466716455406,0.984045558531983
"MEtan","134-62-3",-0.0691841040714212,0.875836054745298
"MEtan","75847-73-3",-0.0488862761480349,0.958788227475476
"MEtan","68002-20-0",-0.0436805619703932,0.969378383757342
"MEtan","34123-59-6",-0.143041392066159,0.437258431736573
"MEtan","93-65-2",-0.136902483867334,0.477381945016272
