"source_metabolite","target_metabolite","tom_weight","module"
"180_0773581","210_1072766",0.279420950494866,"MEsalmon"
"181_1090049","210_1072766",0.259517769684113,"MEsalmon"
"209_1039279","210_1072766",0.274949923430555,"MEsalmon"
"152_0823601","211_0913221",0.250684942803091,"MEsalmon"
"157_0744337","211_0913221",0.251698170832664,"MEsalmon"
"164_0824199","211_0913221",0.264144101954724,"MEsalmon"
"170_0930714","211_0913221",0.268850530674861,"MEsalmon"
"180_0773581","211_0913221",0.271243831344465,"MEsalmon"
"181_1090049","211_0913221",0.25800121251992,"MEsalmon"
"209_1039279","211_0913221",0.278466086345001,"MEsalmon"
"210_1072766","211_0913221",0.266113780830908,"MEsalmon"
"146_0716624","227_1130013",0.251605563188739,"MEsalmon"
"164_0824199","227_1130013",0.269409994410077,"MEsalmon"
"180_0773581","227_1130013",0.265236271950398,"MEsalmon"
"181_1090049","227_1130013",0.265324110854378,"MEsalmon"
"209_1039279","227_1130013",0.281794426140551,"MEsalmon"
"210_1072766","227_1130013",0.266886294149737,"MEsalmon"
"211_0913221","227_1130013",0.258849468860015,"MEsalmon"
"136_0871683","228_1117789",0.251281821124683,"MEsalmon"
"152_0823601","228_1117789",0.26778035823024,"MEsalmon"
"157_0744337","228_1117789",0.265070749346642,"MEsalmon"
"157_08076","228_1117789",0.261237773258352,"MEsalmon"
"164_0824199","228_1117789",0.280149615472797,"MEsalmon"
"170_0930714","228_1117789",0.287876727580418,"MEsalmon"
"180_0773581","228_1117789",0.287489990959573,"MEsalmon"
"181_1090049","228_1117789",0.267907757201432,"MEsalmon"
"209_1039279","228_1117789",0.279599328303748,"MEsalmon"
"210_1072766","228_1117789",0.261970357895338,"MEsalmon"
"211_0913221","228_1117789",0.271074640202218,"MEsalmon"
"227_1130013","228_1117789",0.276899354635378,"MEsalmon"
"114_5626974","228_1179908",0.252015000881232,"MEsalmon"
"136_0871683","228_1179908",0.268509061116727,"MEsalmon"
"146_0716624","228_1179908",0.253887498009133,"MEsalmon"
"152_0823601","228_1179908",0.284740785691397,"MEsalmon"
"157_061433","228_1179908",0.267659407898699,"MEsalmon"
"157_0744337","228_1179908",0.285649823325719,"MEsalmon"
"157_08076","228_1179908",0.281456015283895,"MEsalmon"
"164_0824199","228_1179908",0.301068239383992,"MEsalmon"
"170_0930714","228_1179908",0.307456649283793,"MEsalmon"
"180_0773581","228_1179908",0.308764639291171,"MEsalmon"
"181_1090049","228_1179908",0.28846868053042,"MEsalmon"
"192_0772858","228_1179908",0.268044662462642,"MEsalmon"
"199_0911534","228_1179908",0.261656018197684,"MEsalmon"
"209_1039279","228_1179908",0.299919528133815,"MEsalmon"
"210_1072766","228_1179908",0.280587191718033,"MEsalmon"
"211_0913221","228_1179908",0.291130413409955,"MEsalmon"
"227_1130013","228_1179908",0.297684383931349,"MEsalmon"
"228_1117789","228_1179908",0.285980096983573,"MEsalmon"
"179_062647","180_9045548",0.254023849573784,"MEturquoise"
"111_0897684","191_0408271",0.264513324456195,"MEturquoise"
"179_062647","191_0408271",0.289159462940188,"MEturquoise"
"180_9045548","191_0408271",0.297559106949593,"MEturquoise"
"179_062647","194_0330708",0.256858595407913,"MEturquoise"
"191_0408271","194_0330708",0.264609818986227,"MEturquoise"
"179_062647","198_9747464",0.283612610597817,"MEturquoise"
"180_9045548","198_9747464",0.256845548961397,"MEturquoise"
"191_0408271","198_9747464",0.297449891211529,"MEturquoise"
"191_0408271","207_0147953",0.274028760456308,"MEturquoise"
"191_0408271","207_9988807",0.252094801654135,"MEturquoise"
"191_0408271","210_0507879",0.279187753993865,"MEturquoise"
"111_0897684","214_006924",0.278942237704214,"MEturquoise"
"179_062647","214_006924",0.299662138903114,"MEturquoise"
"179_0909309","214_006924",0.252134946049549,"MEturquoise"
"180_9045548","214_006924",0.313386120302689,"MEturquoise"
"191_0408271","214_006924",0.355162658535568,"MEturquoise"
"194_0330708","214_006924",0.26529610625093,"MEturquoise"
"198_9747464","214_006924",0.307535989989903,"MEturquoise"
"207_0147953","214_006924",0.279253847735076,"MEturquoise"
"207_9988807","214_006924",0.256795754320326,"MEturquoise"
"210_0507879","214_006924",0.298067334683734,"MEturquoise"
"179_062647","216_015376",0.255308429956203,"MEturquoise"
"180_9045548","216_015376",0.268481083116326,"MEturquoise"
"191_0408271","216_015376",0.305663804796219,"MEturquoise"
"194_0330708","216_015376",0.253867604310695,"MEturquoise"
"214_006924","216_015376",0.31598051540609,"MEturquoise"
"191_0408271","218_0220922",0.280431236537478,"MEturquoise"
"214_006924","218_0220922",0.29526444744762,"MEturquoise"
"179_062647","226_0459948",0.276022145049677,"MEturquoise"
"180_9045548","226_0459948",0.282539685908923,"MEturquoise"
"191_0408271","226_0459948",0.318161129608195,"MEturquoise"
"214_006924","226_0459948",0.332975347172125,"MEturquoise"
"216_015376","226_0459948",0.272263319729352,"MEturquoise"
"180_9045548","235_0576314",0.251360929115251,"MEturquoise"
"191_0408271","235_0576314",0.290112552291173,"MEturquoise"
"214_006924","235_0576314",0.301380925264166,"MEturquoise"
"216_015376","235_0576314",0.265980533115865,"MEturquoise"
"179_062647","249_0965969",0.289070322419782,"MEturquoise"
